,Name,RA2000,DEC2000,MWA_072-103_S,MWA_072-103_dS,MWA_103-134_S,MWA_103-134_dS,MWA_139-170_S,MWA_139-170_dS,MWA_170-231_S,MWA_170-231_dS,MOST_70cm_S,MOST_70cm_dS,SUMSS_40cm_S,SUMSS_40cm_dS,ATCA_20cm_S,ATCA_20cm_dS,PMN_6cm_S,PMN_6cm_dS,ATCA_6cm_S,ATCA_6cm_dS,AT20G_6cm_S,AT20G_6cm_dS,ATCA_3cm_S,ATCA_3cm_dS,AT20G_3cm_S,AT20G_3cm_dS,AT20G_2cm_S,AT20G_2cm_dS,alpha,alpha_err,alpha_N
4232,055150-651706,05:51:50.45,-65:17:06.4,,,,,,,,,,,,,3.60,0.36,,,,,,,,,,,,,,,
4233,055154-674930,05:51:54.46,-67:49:30.0,,,,,,,,,,,,,3.42,0.42,,,,,,,,,,,,,,,
4234,055157-674807,05:51:57.94,-67:48:07.2,,,,,,,,,,,,,4.61,0.51,,,,,,,,,,,,,,,
4235,055159-724606,05:51:59.23,-72:46:06.2,,,,,,,,,,,,,2.49,0.32,,,,,,,,,,,,,,,
4236,055200-703508,05:52:00.91,-70:35:08.9,,,,,,,,,,,,,2.56,0.26,,,,,,,,,,,,,,,
4237,055205-733942,05:52:05.69,-73:39:42.5,,,,,,,,,,,,,2.59,0.33,,,,,,,,,,,,,,,
4238,043602-644948,04:36:02.11,-64:49:48.4,,,,,,,,,,,9.6,1.4,5.24,0.75,,,,,,,,,,,,,-1.19,0.73,2
4239,055212-670358,05:52:12.65,-67:03:58.3,,,,,,,,,,,,,2.82,0.39,,,,,,,,,,,,,,,
4240,055212-711602,05:52:12.89,-71:16:02.6,,,,,,,,,,,,,3.04,0.54,,,,,,,,,,,,,,,
4241,055213-711047,05:52:13.54,-71:10:47.3,,,,,,,,,,,,,2.10,0.21,,,,,,,,,,,,,,,
4242,055214-732149,05:52:14.52,-73:21:49.7,,,,,,,,,,,,,2.83,0.38,,,,,,,,,,,,,,,
4243,055215-635427,05:52:15.48,-63:54:27.4,,,,,,,,,,,,,2.09,0.21,,,,,,,,,,,,,,,
4244,055218-703737,05:52:18.36,-70:37:37.2,,,,,,,,,,,,,1.85,0.18,,,,,,,2.16,0.34,,,,,0.085,0.062,2
4245,055219-680411,05:52:19.70,-68:04:11.3,,,,,,,,,,,,,3.82,0.46,,,,,,,,,,,,,,,
4246,055219-651156,05:52:19.73,-65:11:56.7,,,,,,,,,,,,,3.84,0.45,,,,,,,,,,,,,,,
4247,055220-650949,05:52:20.83,-65:09:49.7,,,,,,,,,,,,,3.00,0.37,,,,,,,,,,,,,,,
4248,055226-705624,05:52:26.23,-70:56:24.7,,,,,,,,,,,,,3.59,0.47,,,,,,,,,,,,,,,
4249,061239-720252,06:12:39.48,-72:02:52.1,1043,64,813,29,652,16,553,12,,,136.4,4.3,85.0,8.5,35.0,6.0,,,,,,,,,,,-0.87,0.13,7
4250,043607-633154,04:36:07.08,-63:31:54.8,,,,,,,,,,,15.7,1.4,9.48,0.98,,,,,,,,,,,,,-1.00,0.50,2
4251,055233-640001,05:52:33.62,-64:00:01.8,,,,,,,,,,,,,22.2,2.2,,,,,,,,,,,,,,,
4252,055234-631203,05:52:34.92,-63:12:03.2,,,,,,,,,,,,,3.34,0.47,,,,,,,,,,,,,,,
4253,055239-645842,05:52:39.77,-64:58:43.0,,,,,,,,,,,,,3.13,0.41,,,,,,,,,,,,,,,
