,Name,RA2000,DEC2000,MWA_072-103_S,MWA_072-103_dS,MWA_103-134_S,MWA_103-134_dS,MWA_139-170_S,MWA_139-170_dS,MWA_170-231_S,MWA_170-231_dS,MOST_70cm_S,MOST_70cm_dS,SUMSS_40cm_S,SUMSS_40cm_dS,ATCA_20cm_S,ATCA_20cm_dS,PMN_6cm_S,PMN_6cm_dS,ATCA_6cm_S,ATCA_6cm_dS,AT20G_6cm_S,AT20G_6cm_dS,ATCA_3cm_S,ATCA_3cm_dS,AT20G_3cm_S,AT20G_3cm_dS,AT20G_2cm_S,AT20G_2cm_dS,alpha,alpha_err,alpha_N
1176,044934-632313,04:49:34.20,-63:23:13.6,,,,,,,,,,,12.1,1.3,8.31,0.85,,,,,,,,,,,,,-0.74,0.54,2
1177,044935-684429,04:49:35.35,-68:44:29.8,,,,,,,,,,,,,3.23,0.38,,,2.03,0.32,,,,,,,,,-0.374,0.090,2
1178,044940-652006,04:49:40.90,-65:20:07.1,,,,,,,,,,,21.7,1.0,18.3,1.8,,,,,,,,,,,,,-0.34,0.29,2
1179,044943-731801,04:49:43.01,-73:18:01.8,365,60,383,29,380,22,,,,,60.4,3.1,46.4,4.6,,,,,,,,,,,,,-0.85,0.20,5
1180,050634-675642,05:06:34.20,-67:56:42.7,,,364,31,349,20,301,18,,,94.4,3.0,58.2,5.8,,,17.6,1.8,,,9.55,0.99,,,,,-0.864,0.069,7
1181,044944-642219,04:49:44.64,-64:22:19.2,,,,,,,,,,,7.9,1.1,8.72,0.89,,,,,,,,,,,,,0.19,0.58,2
1182,044944-714642,04:49:44.64,-71:46:42.6,,,,,,,,,,,,,3.26,0.41,,,,,,,,,,,,,,,
1183,044951-681222,04:49:51.77,-68:12:22.7,,,,,,,,,,,,,5.19,0.55,,,,,,,,,,,,,,,
1184,044952-654130,04:49:52.68,-65:41:30.1,,,,,,,,,,,9.60,0.90,6.87,0.72,,,,,,,,,,,,,-0.66,0.43,2
1185,044954-691626,04:49:54.67,-69:16:26.1,,,,,,,,,,,20.9,1.2,13.1,1.7,,,,,,,,,,,,,-0.93,0.56,2
1186,044959-642752,04:49:59.11,-64:27:52.6,,,136,21,159,15,112,12,,,31.3,1.5,21.2,2.1,,,,,,,,,,,,,-0.84,0.19,5
1187,044959-693901,04:49:59.78,-69:39:01.8,,,343,70,258,41,,,,,23.9,1.1,14.6,1.5,,,,,,,,,,,,,-1.32,0.36,4
1188,045005-650014,04:50:05.57,-65:00:14.7,,,,,,,,,,,8.5,1.0,7.11,0.73,,,,,,,,,,,,,-0.35,0.51,2
1189,045005-722125,04:50:05.40,-72:21:25.9,,,,,227,16,,,,,61.5,3.0,40.0,4.0,,,,,,,,,,,,,-0.79,0.19,3
1190,045011-694006,04:50:11.28,-69:40:06.6,,,,,,,,,,,8.8,1.0,5.99,0.69,,,,,,,,,,,,,-0.76,0.53,2
1191,054132-670614,05:41:32.71,-67:06:14.8,484,79,426,27,397,18,316,15,,,131.7,4.0,75.0,7.5,,,22.6,2.3,,,11.1,1.2,,,,,-0.814,0.097,8
1192,045020-671354,04:50:20.76,-67:13:54.1,,,,,,,,,,,15.2,1.1,8.45,0.87,,,,,,,,,,,,,-1.16,0.40,2
1193,045030-711651,04:50:30.17,-71:16:51.2,,,,,,,,,,,15.3,1.0,11.0,1.1,,,2.66,0.29,,,,,,,,,-1.026,0.087,3
1194,045033-671839,04:50:33.17,-67:18:39.9,,,,,,,,,,,10.8,1.0,7.70,0.80,,,,,,,,,,,,,-0.67,0.45,2
1195,045037-653936,04:50:37.63,-65:39:37.1,,,,,83,16,67,15,,,14.60,0.90,9.72,0.99,,,,,,,,,,,,,-1.00,0.33,4
1196,045043-632553,04:50:43.13,-63:25:53.0,,,,,,,,,,,11.30,0.90,7.67,0.77,,,,,,,,,,,,,-0.77,0.55,2
1197,045043-654425,04:50:43.32,-65:44:25.4,,,,,,,,,,,8.2,1.2,3.95,0.47,,,7.37,0.82,,,,,,,,,0.04,0.16,3
1198,045044-651737,04:50:44.59,-65:17:37.3,,,131,30,98,15,95,12,,,41.8,1.5,26.7,2.7,,,,,,,,,,,,,-0.61,0.27,5
1199,045045-661748,04:50:45.36,-66:17:48.5,,,,,,,,,,,,,2.77,0.33,,,,,,,,,,,,,,,
1200,045052-720245,04:50:52.30,-72:02:45.6,,,,,,,,,,,12.40,0.90,8.78,0.89,,,2.75,0.44,,,,,,,,,-0.87,0.12,3
1201,045106-632820,04:51:06.48,-63:28:19.9,,,,,,,,,,,8.4,1.1,5.74,0.61,,,,,,,,,,,,,-0.75,0.56,2
1202,043127-682950,04:31:27.62,-68:29:49.9,,,295,26,330,15,349,13,,,151.9,4.6,88.1,8.8,,,,,,,,,,,,,-0.52,0.12,5
1203,045113-690849,04:51:13.61,-69:08:49.6,,,,,,,,,,,21.2,2.1,12.8,1.4,,,,,,,,,,,,,-1.00,0.62,2
1204,045117-672720,04:51:17.52,-67:27:20.9,,,,,,,,,,,,,4.62,0.51,,,,,,,,,,,,,,,
1205,045117-714737,04:51:17.42,-71:47:38.0,,,,,,,,,,,,,4.79,0.53,,,,,,,,,,,,,,,
1206,045123-624853,04:51:23.33,-62:48:54.0,,,,,,,,,,,13.7,1.2,,,,,,,,,,,,,,,,,
1207,045123-722319,04:51:23.16,-72:23:19.3,,,,,,,,,,,,,4.97,0.53,,,,,,,,,,,,,,,
1208,045133-691932,04:51:33.02,-69:19:32.5,,,,,,,,,,,24.0,3.2,15.5,1.7,,,,,,,,,,,,,-0.87,0.86,2
1209,045137-635456,04:51:37.30,-63:54:56.5,403,39,392,21,368,13,337,14,,,131.3,5.2,94.3,9.4,,,,,,,,,,,,,-0.56,0.12,6
1210,045137-675704,04:51:37.20,-67:57:04.3,,,,,,,,,,,,,4.43,0.52,,,,,,,,,,,,,,,
1211,045145-693628,04:51:45.65,-69:36:28.1,,,,,,,,,,,31.5,1.3,19.7,2.0,,,8.7,1.1,,,,,,,,,-0.72,0.13,3
1212,045145-713813,04:51:45.05,-71:38:13.6,,,,,,,65,15,,,17.1,1.0,9.22,0.94,,,,,,,,,,,,,-1.00,0.54,3
1213,055234-664041,05:52:34.68,-66:40:41.5,3048,49,2197,23,1762,13,1340,12,,,291.2,8.8,154,15,,,,,,,,,,,,,-1.075,0.040,6
1214,045148-722323,04:51:48.00,-72:23:23.6,,,,,,,,,,,17.3,1.2,14.0,1.4,,,,,,,,,,,,,-0.42,0.41,2
1215,045149-651136,04:51:49.66,-65:11:36.6,,,,,,,,,,,9.7,1.1,5.89,0.63,,,,,,,,,,,,,-0.98,0.52,2
1216,045157-651343,04:51:57.77,-65:13:43.0,,,,,,,,,,,,,5.25,0.56,,,,,,,,,,,,,,,
1217,045158-684532,04:51:58.42,-68:45:32.8,,,,,,,,,,,14.20,0.90,7.97,0.82,,,,,,,,,,,,,-1.14,0.34,2
1218,045159-704438,04:51:59.57,-70:44:38.4,,,,,,,,,,,6.10,0.90,6.54,0.74,,,,,,,,,,,,,0.14,0.56,2
1219,045219-625715,04:52:19.06,-62:57:15.5,,,,,93,22,85,14,,,12.40,0.90,8.87,0.91,,,,,,,,,,,,,-1.15,0.37,4
1220,045224-663737,04:52:24.65,-66:37:37.2,,,,,,,,,,,,,3.40,0.49,,,,,,,,,,,,,,,
1221,045232-690349,04:52:32.83,-69:03:49.0,,,,,,,,,,,8.00,0.80,6.86,0.76,,,,,,,,,,,,,-0.30,0.45,2
1222,045234-650540,04:52:34.08,-65:05:40.5,,,,,,,,,,,23.5,1.3,18.0,1.8,,,,,,,,,,,,,-0.52,0.35,2
1223,045244-650946,04:52:44.09,-65:09:46.8,,,141,37,95,17,76,13,,,23.8,1.3,15.9,1.6,,,,,,,,,,,,,-0.85,0.32,5
1224,052416-741419,05:24:16.37,-74:14:19.3,258,55,193,29,199,17,126,11,,,30.9,1.6,26.6,2.7,,,,,,,,,,,,,-0.88,0.24,6
1225,043234-682624,04:32:34.25,-68:26:24.4,274,68,280,28,246,17,233,16,,,42.5,1.6,27.1,2.7,,,,,,,,,,,,,-0.93,0.26,6
1226,045246-623825,04:52:46.34,-62:38:25.1,,,,,493,13,405,11,,,106.7,3.4,,,40.0,7.0,,,,,,,,,,,-0.74,0.18,4
1227,045246-625607,04:52:46.15,-62:56:07.4,,,,,,,,,,,6.40,0.90,5.14,0.59,,,,,,,,,,,,,-0.43,0.55,2
1228,045250-694017,04:52:50.52,-69:40:17.8,,,,,,,,,,,6.10,0.90,3.65,0.47,,,,,,,,,,,,,-1.02,0.56,2
1229,045250-720514,04:52:50.66,-72:05:15.0,,,,,,,,,,,,,3.58,0.40,,,,,,,,,,,,,,,
1230,045251-680557,04:52:51.02,-68:05:57.9,,,,,,,,,,,,,3.39,0.35,,,,,,,,,,,,,,,
1231,045253-653600,04:52:53.26,-65:36:01.1,,,,,,,,,,,12.1,1.3,10.5,1.1,,,,,,,,,,,,,-0.28,0.53,2
1232,045303-690039,04:53:03.55,-69:00:40.0,,,,,,,,,,,9.70,0.80,7.53,0.80,,,,,,,,,,,,,-0.50,0.39,2
1233,045304-691214,04:53:04.37,-69:12:14.8,,,,,,,,,,,11.0,1.0,11.5,1.2,,,,,,,,,,,,,0.08,0.44,2
1234,045312-655320,04:53:12.79,-65:53:20.0,,,,,,,,,,,,,8.82,0.90,,,,,,,,,,,,,,,
1235,045324-693018,04:53:24.29,-69:30:18.7,,,,,,,,,,,15.4,1.0,10.4,1.1,,,,,,,,,,,,,-0.78,0.38,2
1236,043508-682427,04:35:08.81,-68:24:27.4,,,134,25,143,16,104,14,,,23.4,1.0,13.9,1.4,,,,,,,,,,,,,-0.98,0.23,5
1237,045331-660208,04:53:31.63,-66:02:08.2,,,,,,,,,,,,,7.94,0.81,,,,,,,,,,,,,,,
1238,045334-651730,04:53:34.61,-65:17:30.1,,,,,,,,,,,11.6,1.8,4.89,0.53,,,,,,,,,,,,,-1.71,0.76,2
1239,045342-664936,04:53:42.38,-66:49:36.1,,,,,,,,,,,9.5,1.1,8.78,0.95,,,,,,,,,,,,,-0.16,0.55,2
1240,045345-650916,04:53:45.96,-65:09:16.6,,,,,74,15,89,16,,,19.8,1.2,15.3,1.5,,,,,,,,,,,,,-0.82,0.32,4
1241,045351-692753,04:53:51.34,-69:27:54.0,,,,,,,,,,,,,3.33,0.34,,,,,,,,,,,,,,,
1242,045352-631213,04:53:52.73,-63:12:13.7,,,,,94,17,71,12,,,14.60,0.90,10.4,1.1,,,,,,,,,,,,,-1.03,0.29,4
1243,045352-652215,04:53:52.27,-65:22:15.3,,,,,,,,,,,,,5.64,0.60,,,,,,,,,,,,,,,
1244,045358-713816,04:53:58.27,-71:38:16.1,,,,,,,,,,,13.00,0.90,13.5,1.4,,,6.62,0.70,,,5.19,0.60,,,,,-0.434,0.068,4
1245,045408-725254,04:54:08.45,-72:52:54.8,,,,,,,,,,,12.8,1.1,7.01,0.72,,,,,,,,,,,,,-1.19,0.44,2
1246,045409-633949,04:54:09.91,-63:39:49.7,,,,,,,,,,,8.7,1.0,6.33,0.66,,,,,,,,,,,,,-0.63,0.50,2
1247,050258-675806,05:02:58.92,-67:58:06.2,1564,92,1211,33,1026,20,881,17,,,296.8,9.0,182,18,72.0,8.0,54.4,5.5,,,24.6,2.5,,,,,-0.851,0.054,8
1248,045413-653902,04:54:13.80,-65:39:02.1,,,,,,,68,16,,,12.9,1.3,9.69,0.99,,,,,,,,,,,,,-1.04,0.54,3
1249,045417-664544,04:54:17.16,-66:45:44.6,,,,,,,,,,,,,2.56,0.26,,,,,,,,,,,,,,,
1250,045431-654107,04:54:31.92,-65:41:07.4,,,,,,,117,19,,,15.4,1.5,12.7,1.3,,,,,,,,,,,,,-1.21,0.43,3
1251,045431-700549,04:54:31.44,-70:05:49.2,,,,,,,,,,,,,4.99,0.74,,,,,,,,,,,,,,,
1252,045440-634218,04:54:40.15,-63:42:19.1,,,,,,,,,,,22.3,1.1,22.1,2.2,,,,,,,,,,,,,-0.02,0.31,2
1253,045440-665527,04:54:40.70,-66:55:27.8,,,,,,,,,,,7.2,1.1,7.22,0.83,,,,,,,,,,,,,0.01,0.63,2
1254,045442-700715,04:54:42.86,-70:07:15.6,,,,,,,,,,,25.9,1.3,16.5,1.7,,,6.95,0.78,,,2.73,0.28,,,,,-0.905,0.057,4
1255,045445-642105,04:54:45.98,-64:21:05.4,,,,,,,,,,,6.30,0.80,4.39,0.49,,,,,,,,,,,,,-0.71,0.48,2
1256,045446-735023,04:54:46.54,-73:50:23.3,,,,,,,78,18,,,18.40,0.90,12.3,1.2,,,,,,,,,,,,,-0.97,0.56,3
1257,045453-690300,04:54:53.38,-69:03:00.7,,,,,210,41,150,21,,,58.6,2.0,36.1,3.7,,,14.8,1.5,,,,,,,,,-0.76,0.23,5
1258,044201-681842,04:42:01.34,-68:18:42.5,,,118,25,93,15,88,14,,,19.5,1.0,13.8,1.4,,,,,,,,,,,,,-0.91,0.26,5
1259,045454-663015,04:54:54.62,-66:30:15.8,,,,,,,,,,,12.9,1.4,11.0,1.1,,,,,,,,,,,,,-0.31,0.55,2
1260,045459-685118,04:54:59.35,-68:51:18.7,,,,,,,,,,,,,2.55,0.26,,,,,,,,,,,,,,,
1261,045504-730530,04:55:04.73,-73:05:30.9,,,,,,,,,,,6.60,0.80,5.68,0.59,,,,,,,,,,,,,-0.30,0.46,2
1262,045505-691702,04:55:05.62,-69:17:02.8,,,,,,,,,,,8.9,1.0,7.89,0.89,,,5.74,0.72,,,5.74,0.66,,,,,-0.202,0.092,4
1263,045514-724649,04:55:14.02,-72:46:49.5,,,,,,,,,,,18.5,1.0,11.2,1.1,,,,,,,,,,,,,-0.98,0.32,2
1264,045515-705445,04:55:15.91,-70:54:45.4,,,,,,,,,,,6.90,0.70,9.05,0.92,,,7.73,0.80,,,4.49,0.57,,,,,-0.176,0.076,4
1265,045518-694239,04:55:18.53,-69:42:39.2,,,,,,,,,,,,,5.32,0.98,,,,,,,,,,,,,,,
1266,045518-700309,04:55:18.86,-70:03:09.7,,,,,,,,,,,,,2.92,0.30,,,,,,,,,,,,,,,
1267,045519-652713,04:55:19.32,-65:27:13.3,,,,,86,19,79,19,,,16.8,1.2,12.8,1.3,,,,,,,,,,,,,-0.93,0.37,4
1268,045536-632450,04:55:36.84,-63:24:50.4,,,,,,,,,,,16.70,0.90,11.1,1.1,,,,,,,,,,,,,-0.81,0.31,2
1269,042916-682257,04:29:16.13,-68:22:57.7,1751,52,1405,27,1142,16,913,14,,,188.1,5.7,89.1,8.9,,,,,,,,,,,,,-1.084,0.053,6
1270,045541-681248,04:55:41.21,-68:12:48.6,,,,,,,,,,,11.00,0.90,8.22,0.85,,,,,,,,,,,,,-0.57,0.40,2
1271,045543-640953,04:55:43.63,-64:09:53.6,,,,,,,,,,,24.4,1.1,17.9,1.8,,,,,,,,,,,,,-0.61,0.29,2
1272,045545-722947,04:55:45.96,-72:29:47.8,,,,,,,,,,,8.50,0.90,5.88,0.61,,,,,,,,,,,,,-0.73,0.46,2
1273,045548-683054,04:55:48.84,-68:30:54.7,,,,,,,,,,,,,3.58,0.49,,,,,,,,,,,,,,,
1274,045550-650147,04:55:50.02,-65:01:46.9,,,,,,,,,,,7.2,1.2,4.96,0.59,,,,,,,,,,,,,-0.74,0.68,2
1275,045551-635058,04:55:51.31,-63:50:58.9,,,,,,,,,,,8.5,1.1,6.48,0.70,,,,,,,,,,,,,-0.54,0.57,2
1276,045554-643555,04:55:54.19,-64:35:55.3,518,45,460,22,385,14,279,13,,,83.7,3.9,52.4,5.3,,,,,,,,,,,,,-0.86,0.11,6
1277,045559-680817,04:55:59.57,-68:08:17.9,,,,,,,,,,,8.00,0.80,7.84,0.81,,,3.97,0.56,,,,,,,,,-0.43,0.13,3
1278,045601-735134,04:56:01.68,-73:51:34.5,,,,,,,,,,,15.50,0.80,10.3,1.0,,,,,,,,,,,,,-0.81,0.29,2
1279,045602-695222,04:56:02.90,-69:52:22.4,,,,,,,,,,,10.8,1.0,7.75,0.84,,,2.96,0.42,,,,,,,,,-0.75,0.12,3
1280,053636-670734,05:36:36.34,-67:07:34.3,,,383,44,331,26,273,19,,,116.5,3.6,72.7,7.3,,,22.5,2.3,,,10.9,1.1,,,,,-0.805,0.091,7
1281,045603-675955,04:56:03.70,-67:59:55.7,,,,,,,,,,,7.80,0.80,6.47,0.68,,,,,,,,,,,,,-0.37,0.43,2
1282,045603-694248,04:56:03.48,-69:42:49.0,,,,,,,,,,,43.4,1.6,30.9,3.1,,,9.32,0.97,,,6.72,0.77,,,,,-0.834,0.059,4
1283,045610-692331,04:56:10.90,-69:23:31.2,,,,,,,,,,,11.9,1.4,,,,,7.87,0.86,,,6.79,0.83,,,,,-0.24,0.14,3
1284,045612-720456,04:56:12.34,-72:04:56.3,,,,,,,,,,,11.9,1.0,8.46,0.86,,,,,,,,,,,,,-0.67,0.42,2
1285,045618-683432,04:56:18.79,-68:34:32.9,,,,,,,,,,,,,6.4,1.3,,,,,,,,,,,,,,,
1286,045624-632504,04:56:24.62,-63:25:04.8,,,,,,,,,,,7.40,0.90,6.15,0.64,,,,,,,,,,,,,-0.36,0.49,2
1287,045630-680924,04:56:30.86,-68:09:24.8,,,,,,,,,,,,,5.56,0.60,,,,,,,,,,,,,,,
1288,045633-682333,04:56:33.82,-68:23:34.1,,,,,,,,,,,10.20,0.80,7.22,0.92,,,,,,,,,,,,,-0.68,0.48,2
1289,045639-660713,04:56:39.10,-66:07:13.1,,,,,,,,,,,,,3.91,0.55,,,,,,,,,,,,,,,
1290,045642-651236,04:56:42.43,-65:12:36.4,,,,,,,,,,,,,4.02,0.48,,,,,,,,,,,,,,,
1291,045508-680307,04:55:08.04,-68:03:07.2,,,,,,,,,,,26.4,2.4,16.9,1.7,,,,,,,,,,,,,-0.89,0.59,2
1292,045646-700922,04:56:46.10,-70:09:23.0,,,,,,,,,,,,,6.84,0.75,,,3.96,0.68,,,,,,,,,-0.44,0.17,2
1293,045649-702748,04:56:49.39,-70:27:49.0,,,,,,,,,,,16.0,1.1,12.7,1.3,,,,,,,,,,,,,-0.45,0.39,2
1294,045650-722308,04:56:50.16,-72:23:08.5,,,,,,,,,,,,,2.64,0.32,,,,,,,,,,,,,,,
1295,045651-650212,04:56:51.60,-65:02:12.1,,,,,,,,,,,,,8.83,0.92,,,,,,,,,,,,,,,
1296,045651-735827,04:56:51.05,-73:58:27.9,,,,,,,,,,,9.80,0.80,11.3,1.1,,,,,,,,,,,,,0.28,0.38,2
1297,045656-684032,04:56:56.59,-68:40:32.9,,,,,,,,,,,6.70,0.90,4.88,0.62,,,,,,,,,,,,,-0.62,0.56,2
1298,045657-713530,04:56:57.65,-71:35:30.5,,,,,,,,,,,,,2.75,0.33,,,,,,,,,,,,,,,
1299,045704-664041,04:57:04.90,-66:40:41.9,,,,,,,,,,,,,4.46,0.59,,,,,,,,,,,,,,,
1300,045713-661207,04:57:13.03,-66:12:07.2,,,,,,,,,,,13.4,2.0,7.58,0.76,,,4.75,0.48,,,,,,,,,-0.55,0.18,3
1301,045719-631208,04:57:19.75,-63:12:08.6,,,,,,,,,,,19.4,1.0,15.3,1.5,,,,,,,,,,,,,-0.47,0.31,2
1302,043945-681320,04:39:45.24,-68:13:21.0,493,54,422,24,337,13,279,14,,,66.0,2.1,39.9,4.0,,,,,,,,,,,,,-0.94,0.13,6
1303,045720-672008,04:57:20.88,-67:20:08.2,,,,,,,,,,,13.1,1.2,6.37,0.69,,,,,,,1.92,0.20,,,,,-0.777,0.075,3
1304,045726-682914,04:57:26.16,-68:29:14.3,,,,,,,,,,,11.10,0.90,11.9,1.3,,,,,,,,,,,,,0.13,0.42,2
1305,045730-731750,04:57:30.43,-73:17:50.3,648,55,479,26,378,17,316,15,,,84.0,2.6,56.4,5.6,,,,,,,,,,,,,-0.89,0.11,6
1306,045806-722557,04:58:06.89,-72:25:57.7,,,,,,,,,,,38.4,4.3,25.3,2.6,,,,,,,,,,,,,-0.82,0.81,2
1307,045813-722850,04:58:13.39,-72:28:50.2,,,,,,,,,,,33.6,1.5,26.4,2.6,,,,,,,,,,,,,-0.47,0.31,2
1308,045815-672409,04:58:15.98,-67:24:09.0,,,,,,,,,,,,,2.58,0.44,,,,,,,,,,,,,,,
1309,045815-674953,04:58:15.72,-67:49:53.7,,,,,,,,,,,10.40,0.80,12,12,,,,,,,,,,,,,0.3,4.6,2
1310,045816-692655,04:58:16.51,-69:26:55.3,,,,,,,,,,,,,5.11,0.79,,,,,,,,,,,,,,,
1311,045816-703158,04:58:16.20,-70:31:58.4,,,,,,,,,,,13.6,1.0,7.58,0.79,,,,,,,,,,,,,-1.15,0.40,2
1312,045820-672813,04:58:20.04,-67:28:14.1,,,,,,,,,,,,,3.58,0.42,,,,,,,,,,,,,,,
1313,053252-670943,05:32:52.73,-67:09:43.2,450,100,400,47,374,29,323,24,,,102.7,3.2,64.7,6.5,,,21.5,2.2,,,10.7,1.1,,,,,-0.82,0.14,8
1314,045823-685754,04:58:23.06,-68:57:54.4,,,,,,,,,,,20.4,1.0,15.4,1.6,,,5.33,0.60,,,,,,,,,-0.783,0.086,3
1315,045834-644942,04:58:34.46,-64:49:42.2,1153,50,881,22,712,12,572,12,,,155.3,6.5,113,11,44.0,7.0,,,,,,,,,,,-0.83,0.12,7
1316,045834-733605,04:58:34.73,-73:36:05.0,,,,,,,,,,,12.00,0.90,8.73,0.89,,,,,,,,,,,,,-0.63,0.38,2
1317,045838-724819,04:58:38.45,-72:48:19.8,,,,,,,,,,,,,5.62,0.59,,,,,,,,,,,,,,,
1318,045845-640747,04:58:45.89,-64:07:47.6,,,,,,,,,,,15.0,1.1,12.2,1.2,,,,,,,,,,,,,-0.40,0.40,2
1319,045845-682920,04:58:45.67,-68:29:20.4,,,,,,,,,,,7.40,0.80,5.21,0.57,,,,,,,,,,,,,-0.69,0.45,2
1320,045845-725024,04:58:45.36,-72:50:24.7,,,279,33,256,21,272,16,,,168.2,5.1,124,12,55.0,7.0,,,,,,,,,,,-0.42,0.15,6
1321,045847-700346,04:58:47.18,-70:03:46.1,,,,,,,,,,,17.5,1.2,11.2,1.1,,,4.81,0.56,,,,,,,,,-0.73,0.11,3
1322,045855-631751,04:58:55.85,-63:17:51.0,,,,,,,,,,,8.60,0.90,8.78,0.92,,,,,,,,,,,,,0.04,0.47,2
1323,045856-695403,04:58:56.35,-69:54:02.9,,,,,,,,,,,12.5,1.0,8.92,0.92,,,,,,,,,,,,,-0.67,0.42,2
1324,052217-672736,05:22:17.26,-67:27:36.4,,,332,62,264,32,233,24,,,100.0,3.2,50.1,5.0,,,21.5,2.2,,,13.4,1.4,,,,,-0.75,0.14,7
1325,045857-681428,04:58:57.58,-68:14:28.7,,,,,,,,,,,7.50,0.80,6.27,0.73,,,,,,,,,,,,,-0.35,0.48,2
1326,045859-670111,04:58:59.59,-67:01:12.0,,,,,,,,,,,21.1,1.3,14.3,1.5,,,3.93,0.44,,,4.00,0.52,,,,,-0.782,0.075,4
1327,045859-714003,04:58:59.40,-71:40:03.7,,,,,,,,,,,8.60,0.80,5.92,0.61,,,2.49,0.29,,,,,,,,,-0.71,0.10,3
1328,045903-693202,04:59:03.17,-69:32:02.0,,,,,,,,,,,14.0,1.1,13.6,1.4,,,,,,,,,,,,,-0.06,0.44,2
1329,045905-681623,04:59:05.23,-68:16:23.2,,,,,,,,,,,8.80,0.90,6.60,0.70,,,,,,,,,,,,,-0.57,0.46,2
1330,045907-685718,04:59:07.97,-68:57:18.0,,,,,,,,,,,8.60,0.90,5.56,0.61,,,,,,,,,,,,,-0.86,0.47,2
1331,045909-660655,04:59:09.89,-66:06:55.4,,,,,,,,,,,19.5,1.1,13.3,1.3,,,5.00,0.57,,,4.35,0.74,,,,,-0.672,0.089,4
1332,045909-703913,04:59:09.67,-70:39:13.7,,,,,,,,,,,13.7,1.1,8.91,0.96,,,,,,,,,,,,,-0.85,0.45,2
1333,045911-734004,04:59:11.38,-73:40:04.4,,,,,,,,,,,15.30,0.90,16.1,1.6,,,,,,,,,,,,,0.10,0.32,2
1334,045920-645438,04:59:20.45,-64:54:38.9,,,,,,,,,,,11.6,2.1,4.29,0.49,,,,,,,,,,,,,-1.96,0.89,2
1335,062157-723054,06:21:57.55,-72:30:54.4,330,60,268,26,257,16,217,12,,,81.0,2.6,52.3,5.2,,,,,,,,,,,,,-0.67,0.21,6
1336,045421-680056,04:54:21.60,-68:00:56.5,,,188,29,168,17,159,16,,,65.6,2.1,50.9,5.1,56.0,7.0,39.1,3.9,,,24.3,2.4,,,,,-0.43,0.11,7
1337,045921-730513,04:59:21.19,-73:05:13.9,,,,,,,,,,,7.10,0.90,5.82,0.61,,,,,,,,,,,,,-0.39,0.50,2
1338,045925-730851,04:59:25.25,-73:08:51.0,,,,,,,,,,,,,3.75,0.41,,,,,,,,,,,,,,,
1339,045946-730119,04:59:46.58,-73:01:19.9,,,,,,,,,,,15.9,1.0,14.0,1.4,,,,,,,,,,,,,-0.26,0.35,2
1340,045955-685507,04:59:55.08,-68:55:07.0,,,,,,,,,,,7.90,0.80,5.44,0.60,,,,,,,,,,,,,-0.74,0.44,2
1341,050006-741155,05:00:06.74,-74:11:55.0,,,,,,,,,,,13.50,0.90,9.46,0.97,,,,,,,,,,,,,-0.70,0.35,2
1342,050012-731200,05:00:12.12,-73:12:00.7,,,,,,,,,,,10.70,0.80,7.65,0.79,,,,,,,,,,,,,-0.66,0.36,2
1343,050014-644157,05:00:14.42,-64:41:57.1,,,,,,,,,,,11.2,1.1,7.45,0.76,,,,,,,,,,,,,-0.80,0.48,2
1344,050024-692215,05:00:24.17,-69:22:16.0,,,,,,,,,,,12.1,1.6,7.27,0.87,,,,,,,,,,,,,-1.01,0.70,2
1345,050032-711922,05:00:32.33,-71:19:22.4,,,,,,,,,,,20.20,0.90,12.9,1.3,,,5.07,0.55,,,3.02,0.44,,,,,-0.800,0.060,4
1346,050036-643102,05:00:36.05,-64:31:02.6,,,,,,,,,,,13.1,1.1,10.6,1.1,,,,,,,,,,,,,-0.42,0.44,2
1347,044211-681003,04:42:11.81,-68:10:04.1,281,58,266,24,239,15,205,14,,,94.5,2.9,68.0,6.8,,,,,,,,,,,,,-0.53,0.22,6
1348,050041-632021,05:00:41.62,-63:20:21.8,,,,,,,,,,,8.70,0.90,,,,,,,,,,,,,,,,,
1349,050048-631401,05:00:48.70,-63:14:01.0,,,,,,,,,,,12.8,1.1,12.2,1.3,,,,,,,,,,,,,-0.10,0.46,2
1350,050050-682349,05:00:49.99,-68:23:49.9,,,,,,,,,,,11.4,1.2,6.21,0.71,,,,,,,,,,,,,-1.20,0.54,2
1351,050057-671110,05:00:57.86,-67:11:11.0,,,,,,,,,,,13.1,2.0,3.10,0.42,,,,,,,,,,,,,-2.84,0.80,2
1352,050059-731048,05:00:59.88,-73:10:48.7,,,,,,,,,,,13.20,0.90,11.3,1.1,,,,,,,,,,,,,-0.31,0.36,2
1353,050100-674224,05:01:00.53,-67:42:24.1,,,,,,,,,,,8.4,1.3,5.58,0.64,,,,,,,,,,,,,-0.81,0.68,2
1354,050100-735800,05:01:00.79,-73:58:00.5,,,,,,,,,,,,,4.98,0.52,,,,,,,,,,,,,,,
1355,050102-674702,05:01:02.11,-67:47:02.4,,,,,,,,,,,8.00,0.90,6.91,0.74,,,,,,,,,,,,,-0.29,0.49,2
1356,050104-675019,05:01:04.87,-67:50:19.7,,,,,,,,,,,27.6,1.2,20.7,2.1,,,7.60,0.79,,,,,,,,,-0.750,0.075,3
1357,050106-700938,05:01:06.38,-70:09:38.2,,,,,,,,,,,11.3,1.2,7.79,0.85,,,,,,,,,,,,,-0.74,0.54,2
