# Name             RA2000        DEC2000       MWA_072-103_S   MWA_072-103_dS   MWA_103-134_S   MWA_103-134_dS   MWA_139-170_S   MWA_139-170_dS   MWA_170-231_S   MWA_170-231_dS   MOST_70cm_S   MOST_70cm_dS   SUMSS_40cm_S   SUMSS_40cm_dS   ATCA_20cm_S   ATCA_20cm_dS   PMN_6cm_S   PMN_6cm_dS   ATCA_6cm_S   ATCA_6cm_dS   AT20G_6cm_S   AT20G_6cm_dS   ATCA_3cm_S   ATCA_3cm_dS   AT20G_3cm_S   AT20G_3cm_dS   AT20G_2cm_S   AT20G_2cm_dS   alpha    alpha_err   alpha_N  
  044640-721505    04:46:40.03   -72:15:05.1   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             2.55          0.26           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  044645-630152    04:46:45.41   -63:01:52.3   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            13.5           1.3             5.84          0.61           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -1.66    0.51        2        
  044646-631538    04:46:46.15   -63:15:38.5   ...             ...              ...             ...              174             21               ...             ...              ...           ...            20.4           1.1             13.0          1.3            ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -1.20    0.30        3        
  044659-623140    04:46:59.74   -62:31:40.4   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            21.6           1.1             ...           ...            ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  044910-635140    04:49:10.54   -63:51:40.3   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            6.7            1.1             3.69          0.43           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -1.18    0.64        2        
  044945-644354    04:49:45.96   -64:43:54.9   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            20.4           1.1             12.5          1.3            ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -0.97    0.33        2        
  044953-680436    04:49:53.86   -68:04:36.1   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            53.0           2.2             34.3          3.4            ...         ...          12.6         1.3           ...           ...            5.74         0.65          ...           ...            ...           ...            -0.921   0.063       4        
  044243-704020    04:42:43.20   -70:40:19.9   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            10.0           1.2             3.68          0.41           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -1.97    0.56        2        
  044958-631505    04:49:58.32   -63:15:05.4   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            11.9           1.3             5.54          0.59           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -1.51    0.55        2        
  045009-633928    04:50:09.70   -63:39:28.8   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            11.7           1.7             4.85          0.55           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -1.74    0.72        2        
