# Name             RA2000        DEC2000       MWA_072-103_S   MWA_072-103_dS   MWA_103-134_S   MWA_103-134_dS   MWA_139-170_S   MWA_139-170_dS   MWA_170-231_S   MWA_170-231_dS   MOST_70cm_S   MOST_70cm_dS   SUMSS_40cm_S   SUMSS_40cm_dS   ATCA_20cm_S   ATCA_20cm_dS   PMN_6cm_S   PMN_6cm_dS   ATCA_6cm_S   ATCA_6cm_dS   AT20G_6cm_S   AT20G_6cm_dS   ATCA_3cm_S   ATCA_3cm_dS   AT20G_3cm_S   AT20G_3cm_dS   AT20G_2cm_S   AT20G_2cm_dS   alpha    alpha_err   alpha_N  
  054532-733456    05:45:32.28   -73:34:56.6   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             4.41          0.64           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  043436-705252    04:34:36.96   -70:52:52.7   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            11.0           1.2             4.99          0.52           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -1.56    0.53        2        
  054532-710015    05:45:32.95   -71:00:15.8   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             4.92          0.57           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  054533-652813    05:45:33.50   -65:28:13.8   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             3.50          0.46           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  054534-644100    05:45:34.10   -64:41:01.0   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             2.90          0.29           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  054542-713752    05:45:42.00   -71:37:53.0   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             2.06          0.21           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  054542-741518    05:45:42.22   -74:15:18.3   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             3.89          0.39           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  054545-660930    05:45:45.60   -66:09:30.2   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             2.76          0.46           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  054545-715559    05:45:45.65   -71:55:59.9   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             3.97          0.53           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  054552-730626    05:45:52.70   -73:06:25.9   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             2.37          0.24           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  054553-661641    05:45:53.14   -66:16:41.5   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             1.97          0.20           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  054553-703841    05:45:53.21   -70:38:41.3   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             2.66          0.27           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  043448-634928    04:34:50.14   -63:49:04.4   ...             ...              ...             ...              92              19               103             19               ...           ...            22.4           3.5             11.2          1.1            ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -1.00    0.35        4        
  054553-653345    05:45:53.35   -65:33:46.1   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             3.27          0.45           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  054554-670536    05:45:54.89   -67:05:36.2   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             2.03          0.21           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  054554-741513    05:45:54.94   -74:15:13.7   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             2.41          0.24           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  054601-652818    05:46:01.03   -65:28:18.8   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             2.99          0.45           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  054602-642721    05:46:02.57   -64:27:22.0   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             2.00          0.21           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  054604-630843    05:46:04.08   -63:08:43.1   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             4.43          0.53           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  054611-731818    05:46:11.71   -73:18:18.0   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             4.01          0.64           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  054615-635648    05:46:15.50   -63:56:48.8   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             3.39          0.40           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  054617-725752    05:46:17.59   -72:57:52.9   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             3.64          0.46           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  054619-670824    05:46:19.10   -67:08:24.7   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             6.47          0.75           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  043452-741824    04:34:52.15   -74:18:24.8   ...             ...              166             34               179             21               118             14               ...           ...            26.2           1.3             ...           ...            ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -1.02    0.35        4        
  054620-675540    05:46:20.02   -67:55:40.8   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             1.73          0.17           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  054620-721442    05:46:20.50   -72:14:42.0   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             2.52          0.37           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  054621-634942    05:46:21.36   -63:49:42.2   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             3.59          0.42           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  054621-640034    05:46:21.86   -64:00:34.6   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             1.89          0.19           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  054626-742934    05:46:26.57   -74:29:34.1   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             4.16          0.47           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  054626-661847    05:46:26.81   -66:18:47.9   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             3.87          0.46           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  054629-635401    05:46:29.66   -63:54:01.8   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             3.25          0.39           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  054636-655820    05:46:36.91   -65:58:20.6   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             2.08          0.21           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  054638-643828    05:46:38.47   -64:38:28.0   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             3.43          0.48           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  043458-732537    04:34:58.68   -73:25:36.8   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            10.9           1.3             5.47          0.61           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -1.36    0.59        2        
  054639-655012    05:46:39.60   -65:50:12.8   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             1.67          0.17           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  054648-644804    05:46:48.62   -64:48:04.3   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             4.30          0.52           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  054651-722417    05:46:51.65   -72:24:17.3   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             3.63          0.42           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  054652-651438    05:46:52.25   -65:14:38.4   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             2.11          0.21           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  054657-725153    05:46:57.55   -72:51:53.6   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             2.41          0.34           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  054658-653629    05:46:58.92   -65:36:29.2   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             3.20          0.47           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  054701-633733    05:47:01.44   -63:37:33.6   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             2.67          0.42           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  054706-635946    05:47:06.55   -63:59:46.7   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             3.36          0.48           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  054706-651049    05:47:06.72   -65:10:49.8   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             3.26          0.45           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  054711-652854    05:47:11.33   -65:28:54.5   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             1.75          0.18           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  051619-733601    05:16:19.75   -73:36:01.8   1161            58               976             32               828             18               685             13               ...           ...            217.0          9.1             113           11             41.0        6.0          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -0.85    0.11        7        
  043502-742807    04:35:02.86   -74:28:07.7   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            14.9           1.3             ...           ...            ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  054711-683709    05:47:11.45   -68:37:09.1   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             2.16          0.22           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  054718-644000    05:47:18.53   -64:40:00.5   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             6.82          0.75           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  054725-660833    05:47:25.08   -66:08:33.0   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             3.16          0.42           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  054725-672423    05:47:25.73   -67:24:23.4   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             2.31          0.23           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  054733-734900    05:47:33.60   -73:49:00.1   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             4.02          0.74           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  054736-630300    05:47:36.36   -63:03:00.4   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             3.82          0.58           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  054737-711034    05:47:37.90   -71:10:34.0   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             3.10          0.44           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  054739-672638    05:47:39.67   -67:26:38.8   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             2.14          0.22           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  054746-650508    05:47:46.01   -65:05:08.5   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             2.39          0.34           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  043503-721224    04:35:03.98   -72:12:24.5   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            9.50           0.90            4.71          0.51           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -1.39    0.44        2        
  054748-683524    05:47:48.10   -68:35:24.7   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             3.64          0.46           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  054748-642050    05:47:48.82   -64:20:50.3   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             1.89          0.19           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  054750-661747    05:47:50.21   -66:17:47.8   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             2.13          0.31           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  054753-692433    05:47:53.83   -69:24:33.1   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             3.28          0.33           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  054759-635437    05:47:59.30   -63:54:37.1   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             2.97          0.40           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  054801-630924    05:48:01.46   -63:09:24.1   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             2.60          0.36           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  054802-660119    05:48:02.14   -66:01:19.6   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             1.85          0.19           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  054802-721833    05:48:02.83   -72:18:33.1   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             3.13          0.57           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  054814-721706    05:48:14.21   -72:17:06.4   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             1.72          0.18           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  054815-633000    05:48:15.62   -63:30:00.0   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             2.27          0.42           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  043507-701049    04:35:07.32   -70:10:49.8   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            9.4            1.0             5.92          0.61           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -0.91    0.48        2        
  054817-735540    05:48:17.02   -73:55:40.1   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             3.48          0.50           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  054820-672558    05:48:20.42   -67:25:58.1   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             1.75          0.18           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  054822-653343    05:48:22.20   -65:33:43.6   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             2.21          0.23           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  054824-723536    05:48:24.31   -72:35:36.2   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             2.81          0.42           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  054825-630433    05:48:25.78   -63:04:33.6   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             2.96          0.45           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  054829-662058    05:48:29.71   -66:20:58.2   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             2.56          0.36           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  054832-630241    05:48:32.66   -63:02:41.3   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             2.50          0.26           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  054833-720255    05:48:33.02   -72:02:56.0   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             2.70          0.33           ...         ...          2.77         0.44          ...           ...            ...          ...           ...           ...            ...           ...            0.02     0.12        2        
  054840-673131    05:48:40.06   -67:31:31.8   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             3.11          0.43           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  043517-640729    04:35:17.66   -64:07:29.3   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            8.9            1.1             4.80          0.53           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -1.22    0.55        2        
  054845-640959    05:48:45.74   -64:09:59.4   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             2.09          0.21           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  054858-735827    05:48:58.32   -73:58:27.1   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             3.39          0.46           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  054901-654526    05:49:01.20   -65:45:27.0   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             3.90          0.44           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  054901-672826    05:49:01.37   -67:28:26.4   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             3.47          0.55           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  054901-652044    05:49:01.94   -65:20:44.1   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             3.40          0.42           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  054902-675645    05:49:02.45   -67:56:45.6   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             1.81          0.18           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  054904-721120    05:49:04.97   -72:11:20.8   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             2.14          0.35           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  054907-632909    05:49:07.18   -63:29:09.2   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             3.97          0.45           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  054912-665544    05:49:12.46   -66:55:44.8   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             3.00          0.35           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  054915-630114    05:49:15.77   -63:01:14.5   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             2.58          0.26           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  043518-704614    04:35:18.48   -70:46:14.9   ...             ...              ...             ...              ...             ...              94              13               ...           ...            31.4           1.7             14.0          1.4            ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            -0.94    0.35        3        
  054916-741338    05:49:16.01   -74:13:39.0   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             3.24          0.33           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  054916-725424    05:49:16.85   -72:54:24.8   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             3.16          0.39           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  054918-630217    05:49:18.60   -63:02:17.5   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             2.08          0.21           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  054926-660943    05:49:26.11   -66:09:43.6   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             1.77          0.18           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  054934-635521    05:49:34.87   -63:55:21.7   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             2.82          0.52           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  054936-720722    05:49:36.48   -72:07:22.1   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             2.25          0.34           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  054937-685740    05:49:37.58   -68:57:40.7   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             3.16          0.32           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  054940-723344    05:49:40.58   -72:33:44.3   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             2.53          0.35           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
  054940-671546    05:49:40.73   -67:15:46.4   ...             ...              ...             ...              ...             ...              ...             ...              ...           ...            ...            ...             2.40          0.35           ...         ...          ...          ...           ...           ...            ...          ...           ...           ...            ...           ...            ...      ...         ...      
