# Name            20cm_box   20cm_blended   20cm_dbl_ext   20cm_confused   MACHO_det   WISE_det   MCELS_det   Koz1_det   Koz3_det   SixDf_det  
  042142-690351   false      false          false          false           false       true       false       false      false      false      
  042143-714017   true       false          false          false           false       true       false       false      false      false      
  042145-694509   true       false          false          false           false       false      false       false      false      false      
  042146-732914   true       false          false          false           false       true       false       false      false      false      
  042150-730458   true       false          false          false           false       false      false       false      false      false      
  042152-731551   true       false          false          false           false       false      false       false      false      false      
  042154-683851   false      false          false          false           false       false      false       false      false      false      
  042156-700503   true       false          false          false           false       false      false       false      false      false      
  042159-702250   true       false          false          false           false       false      false       false      false      false      
  042202-720419   true       false          false          false           false       false      false       false      false      false      
  042202-691514   true       false          false          false           false       true       false       false      false      false      
  042203-715315   true       false          false          false           false       true       false       false      false      false      
  042208-710441   true       false          false          false           false       true       false       false      false      false      
  042209-713308   true       false          false          false           false       false      false       false      false      false      
  042210-690440   true       false          false          false           false       true       false       false      false      false      
  042217-703720   true       false          false          false           false       false      false       false      false      false      
  042218-693236   true       false          false          false           false       false      false       false      false      false      
  042224-720847   true       true           false          false           false       false      false       false      false      false      
  042224-720754   true       true           false          false           false       false      false       false      false      false      
  042226-701125   true       false          false          false           false       false      false       false      false      false      
  042234-711918   true       false          false          false           false       true       false       false      false      false      
  042234-714358   true       false          false          false           false       false      false       false      false      false      
  042240-675004   false      false          false          false           false       false      false       false      false      false      
  042241-684836   true       false          false          false           false       false      false       false      false      false      
  042241-714132   true       false          false          false           false       true       false       false      false      false      
  042250-701230   true       false          false          false           false       false      false       false      false      false      
  042250-683734   false      true           false          false           false       false      false       false      false      false      
  042250-690951   true       false          false          false           false       false      false       false      false      false      
  042252-711757   true       false          false          false           false       true       false       false      false      false      
  042301-731326   true       false          false          false           false       false      false       false      false      false      
  042303-693102   true       false          false          false           false       false      false       false      false      false      
  042305-682330   false      false          false          false           false       true       false       false      false      false      
  042308-730710   true       false          false          false           false       false      false       false      false      false      
  042310-693542   true       false          false          false           false       true       false       false      false      false      
  042312-733640   true       false          false          false           false       false      false       false      false      false      
  042313-683753   true       true           false          false           false       false      false       false      false      false      
  042313-701114   true       false          false          false           false       false      false       false      false      false      
  042313-713005   true       false          false          false           false       false      false       false      false      false      
  042313-704629   true       false          false          false           false       false      false       false      false      false      
  042315-702207   true       false          false          false           false       false      false       false      false      false      
  042315-740402   true       false          false          false           false       true       false       false      false      false      
  042320-701330   true       false          false          false           false       false      false       false      false      false      
