# col1   Name            RA            DEC            Peak        Peak_err        Flux        Flux_err        rms  
  249    044805-712826   04:48:05.27   -71:28:25.94   7.0         ...             7.8         0.8             0.58     
  250    044807-701405   04:48:06.73   -70:14:12.86   3.0         ...             3.0         ...             0.48     
  251    044807-683628   04:48:07.41   -68:36:29.50   11.0        ...             11.0        1               0.84     
  252    044807-661940   04:48:07.61   -66:19:39.71   12.0        1               12.3        0.1             0.79     
  253    044809-703142   04:48:09.86   -70:31:44.70   69.0        ...             80.2        0.3             0.58     
  254    044815-715823   04:48:13.90   -71:58:25.74   6.0         ...             7.0         0.7             0.6      
  255    044821-654554   04:48:20.09   -65:46:03.57   5.0         ...             5.2         0.5             0.68     
  256    044821-682922   04:48:22.97   -68:29:37.75   5.0         ...             5.6         0.6             0.84     
  257    044821-702209   04:48:21.46   -70:22:09.43   6.0         1               5.9         0.1             0.53     
  258    044829-691804   04:48:29.56   -69:18:04.11   7.0         ...             7.0         ...             0.81     
  259    044831-655359   04:48:31.29   -65:53:58.29   32.0        ...             33.0        3               0.68     
  260    044834-724912   04:48:34.13   -72:49:12.40   30.0        ...             48.6        0.6             0.93     
  261    044834-661721   04:48:34.64   -66:17:18.91   24.0        2               23.5        0.2             0.79     
  262    044835-713903   04:48:35.11   -71:39:03.74   14.0        1               13.9        0.1             0.52     
  263    044840-654109   04:48:40.75   -65:41:09.40   27.0        3               32.9        0.6             0.79     
  264    044854-690941   04:48:54.67   -69:09:42.32   17.0        2               16.9        0.2             0.88     
  265    044855-692941   04:48:55.74   -69:29:36.65   21.0        ...             22.0        2               0.69     
  266    044856-722111   04:49:03.12   -72:20:29.77   68.0        ...             128.7       0.7             0.63     
  267    044900-702802   04:49:00.66   -70:28:16.60   2.8         0.7             2.84        0.07            0.52     
  268    044901-663334   04:49:01.24   -66:33:33.08   26.0        ...             26.0        3               0.82     
  269    044902-723457   04:49:04.31   -72:34:58.40   6.4         0.8             6.45        0.08            0.79     
  270    044903-705206   04:49:02.63   -70:52:04.20   486.0       ...             603.0       0.7             1.09     
  271    044905-655912   04:49:04.80   -65:59:11.09   29.0        ...             29.0        3               0.69     
  272    044907-682414   04:49:09.44   -68:24:14.82   4.4         0.5             17.0        0.3             0.55     
  273    044913-722713   04:49:12.85   -72:27:14.54   16.0        2               16.0        0.2             0.89     
  274    044918-695510   04:49:18.10   -69:55:09.23   12.0        ...             13.0        1               0.64     
  275    044920-712603   04:49:20.03   -71:26:02.44   5.0         0.5             5.0         0.05            0.54     
  276    044923-675029   04:49:23.85   -67:50:27.60   11.7        0.9             11.74       0.09            0.47     
  277    044925-675254   04:49:24.09   -67:52:49.76   4.8         0.9             4.78        0.09            0.47     
  278    044927-681452   04:49:27.73   -68:14:47.95   11.0        ...             11.0        1               0.55     
  279    044928-692633   04:49:28.56   -69:26:29.64   41.0        ...             42.0        4               1.48     
  280    044930-673620   04:49:30.42   -67:36:20.12   7.0         ...             7.6         0.8             0.53     
  281    044931-701850   04:49:31.60   -70:18:48.84   11.0        ...             11.0        1               0.44     
  282    044932-661255   04:49:31.84   -66:12:53.72   3.4         0.6             3.38        0.06            0.64     
  283    044933-674417   04:49:32.29   -67:44:08.88   5.0         ...             5.4         0.5             0.47     
  284    044934-721642   04:49:33.86   -72:16:47.72   56.0        3               109.0       1               0.89     
  285    044935-684429   04:49:35.29   -68:44:35.61   4.0         ...             4.7         0.5             0.45     
  286    044936-664127   04:49:35.61   -66:41:28.31   42.0        ...             63.0        0.5             0.71     
  287    044936-675353   04:49:36.50   -67:53:51.94   8.6         0.9             8.58        0.09            0.47     
  288    044938-650502   04:49:38.47   -65:05:01.79   184.0       ...             271.2       0.8             1.24     
  289    044939-680051   04:49:39.93   -68:00:51.69   26.2        0.7             37.6        0.1             0.5      
  290    044940-710227   04:49:40.18   -71:02:29.12   6.3         0.8             6.31        0.08            0.48     
  291    044940-652006   04:49:40.35   -65:20:06.15   25.0        2               24.5        0.2             1.03     
  292    044943-661100   04:49:43.15   -66:10:59.09   7.0         1               7.1         0.1             0.69     
  293    044944-714642   04:49:44.56   -71:46:48.79   4.0         ...             4.7         0.5             0.6      
  294    044948-715739   04:49:48.97   -71:57:38.72   7.0         ...             7.7         0.8             0.69     
  295    044948-694013   04:49:48.82   -69:40:12.52   61.0        ...             78.3        0.4             0.69     
  296    044951-681222   04:49:52.49   -68:12:34.53   4.0         ...             4.7         0.5             0.54     
  297    044952-654130   04:49:51.79   -65:41:27.68   10.0        ...             10.0        1               0.79     
  298    044953-680436   04:49:53.36   -68:04:33.86   47.0        2               52.1        0.3             0.54     
  299    044954-691626   04:49:54.91   -69:16:25.31   21.0        3               20.9        0.3             1.48     
  300    044955-680147   04:49:55.73   -68:01:46.27   52.5        0.7             66.8        0.1             0.51     
  301    044959-693901   04:49:59.84   -69:38:58.99   20.0        ...             21.0        2               0.69     
  302    045002-660123   04:50:03.39   -66:01:27.90   2.0         ...             2.9         0.3             0.58     
  303    045003-712626   04:50:03.08   -71:26:24.29   11.0        1               10.9        0.1             0.58     
  304    045005-722125   04:50:05.40   -72:21:26.06   38.8        0.8             54.4        0.1             0.75     
  305    045005-650014   04:50:05.48   -65:00:17.84   12.0        ...             13.0        1               1.24     
  306    045009-715838   04:50:09.64   -71:58:39.60   37.0        2               39.6        0.4             0.69     
