# col1   Name            RA            DEC            Peak         Peak_err         Flux         Flux_err         rms  
  170    044322-700521   04:43:22.83   -70:05:20.33   6.7          0.7              10.0         1.0              0.78      
  171    044325-675627   04:43:24.34   -67:56:27.35   110.7        0.8              142.0        1.0              0.88      
  172    044326-652640   04:43:25.74   -65:26:37.99   121.8        0.9              151.0        1.0              0.95      
  173    044327-713300   04:43:25.77   -71:33:06.38   4.0          0.7              4.1          0.8              0.72      
  174    044327-650632   04:43:26.84   -65:06:30.55   26.0         1.0              34.0         2.0              1.29      
  175    044327-714746   04:43:27.13   -71:47:42.21   10.2         0.6              11.6         0.7              0.6       
  176    044332-735111   04:43:29.06   -73:51:11.76   9.0          1.0              10.0         2.0              1.25      
  177    044336-681040   04:43:35.23   -68:10:36.47   5.9          0.8              16.0         2.0              0.88      
  178    044337-655709   04:43:36.77   -65:57:11.47   5.6          0.8              8.0          1.0              0.82      
  179    044340-705549   04:43:39.95   -70:55:44.31   7.8          0.7              9.1          0.9              0.77      
  180    044343-690002   04:43:43.26   -68:59:59.02   15.5         0.8              21.0         1.0              0.83      
  181    044347-665957   04:43:46.40   -66:59:54.85   8.7          0.8              10.0         1.0              0.84      
  182    044402-665133   04:44:01.56   -66:51:32.40   20.7         0.8              25.0         1.0              0.84      
  183    044404-725012   04:44:02.83   -72:50:12.51   13.7         0.6              16.1         0.7              0.62      
  184    044413-673154   04:44:13.08   -67:31:52.50   33.2         0.8              48.0         1.0              0.84      
  185    044416-684211   04:44:15.38   -68:42:09.99   141.0        0.9              181.0        1.0              0.92      
  186    044430-684805   04:44:29.20   -68:48:04.14   5.9          0.9              7.0          1.0              0.92      
  187    044438-711507   04:44:38.24   -71:15:03.60   46.3         0.9              60.0         1.0              0.72      
  188    044451-674636   04:44:50.30   -67:46:35.12   166.0        0.8              211.0        1.0              0.84      
  189    044455-672937   04:44:54.77   -67:29:33.33   21.6         0.8              26.0         1.0              0.84      
  190    044457-680857   04:44:56.54   -68:08:54.52   24.6         0.8              34.0         1.0              0.88      
  191    044458-663549   04:44:58.34   -66:35:43.81   6.0          1.0              7.0          1.0              0.97      
  192    044505-735011   04:45:04.26   -73:50:06.71   28.0         1.0              34.0         1.0              1.25      
  193    044512-691723   04:45:11.63   -69:17:22.00   17.5         0.8              23.0         1.0              0.88      
  194    044512-654707   04:45:12.22   -65:47:06.48   107.6        0.8              137.0        1.0              0.81      
